Timestamp,What is your age?,What is your gender?,Marital Status,Are you an earning member of your household?,"After lockdowns, my mental health has become worse.",I feel more insecure about my future after the pandemic than I did before.,I feel more disappointed in myself now than I did before the pandemic.,My responsibilities and work have increased after the lockdowns. ,I feel lonely more often after the lockdown than I did before.,I get tired more easily than I did before the pandemic.,I am more worried about my physical health than I was before the lockdown.,It takes more effort for me to do my normal work now than it did before lockdown.,I have trouble concentrating on activities I used to enjoy before the lockdowns.,My appetite has reduced after the lockdowns.,I have trouble falling asleep and cannot sleep as well as I used to.,Which gender do you think the pandemic has affected more?
4/9/2022 12:46:41,18 - 29,Female,Unmarried,No,Strongly disagree,Agree,Neutral,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,The pandemic has affected everyone equally.
4/9/2022 13:06:36,18 - 29,Female,Unmarried,No,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Strongly disagree,Disagree,The pandemic has affected everyone equally.
4/9/2022 13:06:51,18 - 29,Male,Unmarried,No,Neutral,Agree,Disagree,Strongly Agree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,The pandemic has affected everyone equally.
4/9/2022 13:07:08,18 - 29,Male,Unmarried,No,Agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,The pandemic has affected everyone equally.
4/9/2022 13:08:41,18 - 29,Male,Unmarried,No,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,The pandemic has affected everyone equally.
4/9/2022 13:09:09,18 - 29,Female,Unmarried,No,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,The pandemic has affected everyone equally.
4/9/2022 13:09:38,18 - 29,Female,Unmarried,No,Strongly agree,Strongly Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Female
4/9/2022 13:15:15,18 - 29,Prefer not to say,Unmarried,No,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,The pandemic has affected everyone equally.
4/9/2022 13:18:46,18 - 29,Male,Unmarried,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,The pandemic has affected everyone equally.
4/9/2022 13:20:05,18 - 29,Female,Unmarried,No,Neutral,Strongly Agree,Strongly agree,Strongly Agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,The pandemic has affected everyone equally.
4/9/2022 13:27:25,18 - 29,Female,Unmarried,No,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,The pandemic has affected everyone equally.
4/9/2022 13:34:10,18 - 29,Female,Unmarried,No,Neutral,Strongly Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Disagree,The pandemic has affected everyone equally.
4/9/2022 13:35:59,18 - 29,Female,Unmarried,No,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,The pandemic has affected everyone equally.
4/9/2022 13:40:43,18 - 29,Female,Unmarried,No,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,The pandemic has affected everyone equally.
4/9/2022 13:57:50,18 - 29,Female,Unmarried,No,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,The pandemic has affected everyone equally.
4/9/2022 14:06:38,18 - 29,Female,Unmarried,No,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Female
4/9/2022 14:20:53,18 - 29,Female,Unmarried,No,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,The pandemic has affected everyone equally.
